periodo;regiao;local;rede;ensino;serie;resultado;rendimento
2010;Sul;Urbana;Municipal;Fundamental;2s;Aprovado;89,8
2010;Sul;Urbana;Particular;Fundamental;2s;Aprovado;98,4
2010;Sul;Urbana;Publico;Fundamental;2s;Aprovado;89,7
2010;Sul;Urbana;Total;Fundamental;2s;Aprovado;90,6
2010;Centro_Oeste;Rural;Estadual;Fundamental;2s;Aprovado;87,1
2010;Centro_Oeste;Rural;Federal;Fundamental;2s;Aprovado;
2010;Centro_Oeste;Rural;Municipal;Fundamental;2s;Aprovado;84,8
2010;Centro_Oeste;Rural;Particular;Fundamental;2s;Aprovado;90,6
2010;Centro_Oeste;Rural;Publico;Fundamental;2s;Aprovado;85,4
2010;Centro_Oeste;Rural;Total;Fundamental;2s;Aprovado;85,4
2010;Centro_Oeste;Total;Estadual;Fundamental;2s;Aprovado;86,2
2010;Centro_Oeste;Total;Federal;Fundamental;2s;Aprovado;96,5
2010;Centro_Oeste;Total;Municipal;Fundamental;2s;Aprovado;87,3
2010;Centro_Oeste;Total;Particular;Fundamental;2s;Aprovado;98,2
2010;Centro_Oeste;Total;Publico;Fundamental;2s;Aprovado;86,9
2010;Centro_Oeste;Total;Total;Fundamental;2s;Aprovado;88,4
2010;Centro_Oeste;Urbana;Estadual;Fundamental;2s;Aprovado;86,2
2010;Centro_Oeste;Urbana;Federal;Fundamental;2s;Aprovado;96,5
2010;Centro_Oeste;Urbana;Municipal;Fundamental;2s;Aprovado;87,7
2010;Centro_Oeste;Urbana;Particular;Fundamental;2s;Aprovado;98,2
2010;Centro_Oeste;Urbana;Publico;Fundamental;2s;Aprovado;87,1
2010;Centro_Oeste;Urbana;Total;Fundamental;2s;Aprovado;88,8
2010;Norte;Rural;Estadual;Fundamental;3s;Aprovado;80,1
2010;Norte;Rural;Federal;Fundamental;3s;Aprovado;
2010;Norte;Rural;Municipal;Fundamental;3s;Aprovado;76,9
2010;Norte;Rural;Particular;Fundamental;3s;Aprovado;83,3
2010;Norte;Rural;Publico;Fundamental;3s;Aprovado;77,2
2010;Norte;Rural;Total;Fundamental;3s;Aprovado;77,3
2010;Norte;Total;Estadual;Fundamental;3s;Aprovado;87,5
2010;Norte;Total;Federal;Fundamental;3s;Aprovado;97,4
2010;Norte;Total;Municipal;Fundamental;3s;Aprovado;81,1
2010;Norte;Total;Particular;Fundamental;3s;Aprovado;97,7
2010;Norte;Total;Publico;Fundamental;3s;Aprovado;82,8
2010;Norte;Total;Total;Fundamental;3s;Aprovado;83,5
2010;Norte;Urbana;Estadual;Fundamental;3s;Aprovado;88,6
2010;Norte;Urbana;Federal;Fundamental;3s;Aprovado;97,4
2010;Norte;Urbana;Municipal;Fundamental;3s;Aprovado;84,4
2010;Norte;Urbana;Particular;Fundamental;3s;Aprovado;98
2010;Norte;Urbana;Publico;Fundamental;3s;Aprovado;85,9
2010;Norte;Urbana;Total;Fundamental;3s;Aprovado;86,8
2010;Nordeste;Rural;Estadual;Fundamental;3s;Aprovado;78,9
2010;Nordeste;Rural;Federal;Fundamental;3s;Aprovado;100
2010;Nordeste;Rural;Municipal;Fundamental;3s;Aprovado;82,2
2010;Nordeste;Rural;Particular;Fundamental;3s;Aprovado;92
2010;Nordeste;Rural;Publico;Fundamental;3s;Aprovado;82,1
2010;Nordeste;Rural;Total;Fundamental;3s;Aprovado;82,2
2010;Nordeste;Total;Estadual;Fundamental;3s;Aprovado;80,8
2010;Nordeste;Total;Federal;Fundamental;3s;Aprovado;100
2010;Nordeste;Total;Municipal;Fundamental;3s;Aprovado;83,4
2010;Nordeste;Total;Particular;Fundamental;3s;Aprovado;97,1
2010;Nordeste;Total;Publico;Fundamental;3s;Aprovado;83,1
2010;Nordeste;Total;Total;Fundamental;3s;Aprovado;84,8
2010;Nordeste;Urbana;Estadual;Fundamental;3s;Aprovado;81
2010;Nordeste;Urbana;Federal;Fundamental;3s;Aprovado;
2010;Nordeste;Urbana;Municipal;Fundamental;3s;Aprovado;84,2
2010;Nordeste;Urbana;Particular;Fundamental;3s;Aprovado;97,2
2010;Nordeste;Urbana;Publico;Fundamental;3s;Aprovado;83,8
2010;Nordeste;Urbana;Total;Fundamental;3s;Aprovado;86,2
2010;Sudeste;Rural;Estadual;Fundamental;3s;Aprovado;98
2010;Sudeste;Rural;Federal;Fundamental;3s;Aprovado;
2010;Sudeste;Rural;Municipal;Fundamental;3s;Aprovado;91,6
2010;Sudeste;Rural;Particular;Fundamental;3s;Aprovado;96,1
2010;Sudeste;Rural;Publico;Fundamental;3s;Aprovado;92,4
2010;Sudeste;Rural;Total;Fundamental;3s;Aprovado;92,5
2010;Sudeste;Total;Estadual;Fundamental;3s;Aprovado;98,2
2010;Sudeste;Total;Federal;Fundamental;3s;Aprovado;95,7
2010;Sudeste;Total;Municipal;Fundamental;3s;Aprovado;92,9
2010;Sudeste;Total;Particular;Fundamental;3s;Aprovado;98,3
2010;Sudeste;Total;Publico;Fundamental;3s;Aprovado;94,5
2010;Sudeste;Total;Total;Fundamental;3s;Aprovado;95
2010;Sudeste;Urbana;Estadual;Fundamental;3s;Aprovado;98,3
2010;Sudeste;Urbana;Federal;Fundamental;3s;Aprovado;95,7
2010;Sudeste;Urbana;Municipal;Fundamental;3s;Aprovado;93
2010;Sudeste;Urbana;Particular;Fundamental;3s;Aprovado;98,3
2010;Sudeste;Urbana;Publico;Fundamental;3s;Aprovado;94,6
2010;Sudeste;Urbana;Total;Fundamental;3s;Aprovado;95,2
2010;Sul;Rural;Estadual;Fundamental;3s;Aprovado;92
2010;Sul;Rural;Federal;Fundamental;3s;Aprovado;
2010;Sul;Rural;Municipal;Fundamental;3s;Aprovado;93,4
2010;Sul;Rural;Particular;Fundamental;3s;Aprovado;97,3
2010;Sul;Rural;Publico;Fundamental;3s;Aprovado;93,1
2010;Sul;Rural;Total;Fundamental;3s;Aprovado;93,1
2010;Sul;Total;Estadual;Fundamental;3s;Aprovado;93,4
2010;Sul;Total;Federal;Fundamental;3s;Aprovado;94,4
2010;Sul;Total;Municipal;Fundamental;3s;Aprovado;93
2010;Sul;Total;Particular;Fundamental;3s;Aprovado;98,7
2010;Sul;Total;Publico;Fundamental;3s;Aprovado;93,1
2010;Sul;Total;Total;Fundamental;3s;Aprovado;93,5
2010;Sul;Urbana;Estadual;Fundamental;3s;Aprovado;93,5
2010;Sul;Urbana;Federal;Fundamental;3s;Aprovado;94,4
2010;Sul;Urbana;Municipal;Fundamental;3s;Aprovado;92,9
2010;Sul;Urbana;Particular;Fundamental;3s;Aprovado;98,7
2010;Sul;Urbana;Publico;Fundamental;3s;Aprovado;93,1
2010;Sul;Urbana;Total;Fundamental;3s;Aprovado;93,6
2010;Centro_Oeste;Rural;Estadual;Fundamental;3s;Aprovado;92,2
2010;Centro_Oeste;Rural;Federal;Fundamental;3s;Aprovado;
2010;Centro_Oeste;Rural;Municipal;Fundamental;3s;Aprovado;87,3
2010;Centro_Oeste;Rural;Particular;Fundamental;3s;Aprovado;95,5
2010;Centro_Oeste;Rural;Publico;Fundamental;3s;Aprovado;88,6
2010;Centro_Oeste;Rural;Total;Fundamental;3s;Aprovado;88,6
2010;Centro_Oeste;Total;Estadual;Fundamental;3s;Aprovado;90,6
2010;Centro_Oeste;Total;Federal;Fundamental;3s;Aprovado;94,9
2010;Centro_Oeste;Total;Municipal;Fundamental;3s;Aprovado;89,9
2010;Centro_Oeste;Total;Particular;Fundamental;3s;Aprovado;98,5
2010;Centro_Oeste;Total;Publico;Fundamental;3s;Aprovado;90,2
2010;Centro_Oeste;Total;Total;Fundamental;3s;Aprovado;91,4
2010;Centro_Oeste;Urbana;Estadual;Fundamental;3s;Aprovado;90,5
2010;Centro_Oeste;Urbana;Federal;Fundamental;3s;Aprovado;94,9
2010;Centro_Oeste;Urbana;Municipal;Fundamental;3s;Aprovado;90,3
2010;Centro_Oeste;Urbana;Particular;Fundamental;3s;Aprovado;98,5
2010;Centro_Oeste;Urbana;Publico;Fundamental;3s;Aprovado;90,4
2010;Centro_Oeste;Urbana;Total;Fundamental;3s;Aprovado;91,6
2010;Norte;Rural;Estadual;Fundamental;4s;Aprovado;82,8
2010;Norte;Rural;Federal;Fundamental;4s;Aprovado;
2010;Norte;Rural;Municipal;Fundamental;4s;Aprovado;80,3
2010;Norte;Rural;Particular;Fundamental;4s;Aprovado;84,1
2010;Norte;Rural;Publico;Fundamental;4s;Aprovado;80,5
2010;Norte;Rural;Total;Fundamental;4s;Aprovado;80,6
2010;Norte;Total;Estadual;Fundamental;4s;Aprovado;87,9
2010;Norte;Total;Federal;Fundamental;4s;Aprovado;94,8
2010;Norte;Total;Municipal;Fundamental;4s;Aprovado;83,8
2010;Norte;Total;Particular;Fundamental;4s;Aprovado;97,8
2010;Norte;Total;Publico;Fundamental;4s;Aprovado;85
2010;Norte;Total;Total;Fundamental;4s;Aprovado;85,7
2010;Norte;Urbana;Estadual;Fundamental;4s;Aprovado;88,6
2010;Norte;Urbana;Federal;Fundamental;4s;Aprovado;94,8
2010;Norte;Urbana;Municipal;Fundamental;4s;Aprovado;86,3
2010;Norte;Urbana;Particular;Fundamental;4s;Aprovado;97,9
2010;Norte;Urbana;Publico;Fundamental;4s;Aprovado;87,2
2010;Norte;Urbana;Total;Fundamental;4s;Aprovado;88
2010;Nordeste;Rural;Estadual;Fundamental;4s;Aprovado;77,5
2010;Nordeste;Rural;Federal;Fundamental;4s;Aprovado;70,6
2010;Nordeste;Rural;Municipal;Fundamental;4s;Aprovado;83
2010;Nordeste;Rural;Particular;Fundamental;4s;Aprovado;93,5
2010;Nordeste;Rural;Publico;Fundamental;4s;Aprovado;82,8
2010;Nordeste;Rural;Total;Fundamental;4s;Aprovado;82,9
2010;Nordeste;Total;Estadual;Fundamental;4s;Aprovado;81,5
2010;Nordeste;Total;Federal;Fundamental;4s;Aprovado;85,1
2010;Nordeste;Total;Municipal;Fundamental;4s;Aprovado;83,5
2010;Nordeste;Total;Particular;Fundamental;4s;Aprovado;97
2010;Nordeste;Total;Publico;Fundamental;4s;Aprovado;83,3
2010;Nordeste;Total;Total;Fundamental;4s;Aprovado;84,9
2010;Nordeste;Urbana;Estadual;Fundamental;4s;Aprovado;81,9
2010;Nordeste;Urbana;Federal;Fundamental;4s;Aprovado;93,3
2010;Nordeste;Urbana;Municipal;Fundamental;4s;Aprovado;83,8
2010;Nordeste;Urbana;Particular;Fundamental;4s;Aprovado;97
2010;Nordeste;Urbana;Publico;Fundamental;4s;Aprovado;83,5
2010;Nordeste;Urbana;Total;Fundamental;4s;Aprovado;85,9
2010;Sudeste;Rural;Estadual;Fundamental;4s;Aprovado;93,3
2010;Sudeste;Rural;Federal;Fundamental;4s;Aprovado;
2010;Sudeste;Rural;Municipal;Fundamental;4s;Aprovado;91,5
2010;Sudeste;Rural;Particular;Fundamental;4s;Aprovado;95
2010;Sudeste;Rural;Publico;Fundamental;4s;Aprovado;91,8
2010;Sudeste;Rural;Total;Fundamental;4s;Aprovado;91,8
2010;Sudeste;Total;Estadual;Fundamental;4s;Aprovado;94,2
2010;Sudeste;Total;Federal;Fundamental;4s;Aprovado;95,7
2010;Sudeste;Total;Municipal;Fundamental;4s;Aprovado;92
2010;Sudeste;Total;Particular;Fundamental;4s;Aprovado;97,9
2010;Sudeste;Total;Publico;Fundamental;4s;Aprovado;92,7
2010;Sudeste;Total;Total;Fundamental;4s;Aprovado;93,4
