Periodo;Ano;Meses;Cidade;Dias30;IND;CONST;COMERCIO;SERVICOS;MASCULINO;FEMININO;CHEFES
nov/91;1991;novembro;SP;5,5;6;5,7;5,8;3,7;5,4;4,4;3,1
dez/91;1991;dezembro;SP;5,6;6,1;4,4;4,9;3,7;5,3;4,4;3,1
jan/92;1992;janeiro;SP;6,3;7,3;5,5;6,3;4;5,9;5,7;3,6
fev/92;1992;fevereiro;SP;8;8,9;6,7;7,9;5,5;7,2;8,2;3,8
mar/92;1992;março;SP;8;9,8;6,2;8,5;4,5;6,8;7,9;3,3
abr/92;1992;abril;SP;7,1;8,2;4,8;5,9;4,9;6,2;6,8;3,8
mai/92;1992;maio;SP;7,6;9,7;7,8;6,1;4,9;6,9;7,5;4,4
jun/92;1992;junho;SP;6,5;9,4;5,8;5,9;4,9;0,9;7,1;3,4
jul/92;1992;julho;SP;6,8;6,5;5,9;5,6;3,6;0,6;5,5;3,6
ago/92;1992;agosto;SP;7,2;8,5;5,9;7,6;4,7;6,6;6,9;4,3
set/92;1992;setembro;SP;7,1;8,9;5,7;7,4;4,5;6,3;7;4
out/92;1992;outubro;SP;7,1;8,3;6,6;7,6;4,8;6,8;6,3;4,2
nov/92;1992;novembro;SP;6,8;7,9;6,7;7,3;4,8;6,6;6;4,3
dez/92;1992;dezembro;SP;5,4;6,6;3,9;5;3,5;4,7;5;2,7
jan/93;1993;janeiro;SP;7,1;8;5,8;7,1;4,9;6,6;6,7;3,9
fev/93;1993;fevereiro;SP;7;7;6,9;7,9;5;6,4;7;3,9
mar/93;1993;março;SP;6,5;7;7,3;6,8;4,9;6;6,5;3,8
abr/93;1993;abril;SP;7,2;8,6;7,5;7,2;4,8;6,2;7,8;4,2
mai/93;1993;maio;SP;6,4;7,5;6,2;6;4,5;5,6;6,6;3,4
jun/93;1993;junho;SP;5,8;7,1;4,8;5,6;3,9;4,9;6,3;3,1
jul/93;1993;julho;SP;5,8;6,3;4,4;6;4,1;5,3;6;3,2
ago/93;1993;agosto;SP;5,8;6,8;5,7;6,4;3,8;5,6;5,2;3,2
set/93;1993;setembro;SP;5,5;6,5;4,3;5,7;3,3;4,8;5,1;2,7
out/93;1993;outubro;SP;5,8;6,7;5;5,7;4;5,4;4,5;2,8
nov/93;1993;novembro;SP;5,6;7;3,6;6;3,6;5,2;5,5;3,2
dez/93;1993;dezembro;SP;5,2;5,5;5,2;4,6;3,5;4,7;4,5;2,9
jan/94;1994;janeiro;SP;6,4;7,8;5,4;5,2;4,3;5,6;6,4;3,4
fev/94;1994;fevereiro;SP;6,5;7,6;4,3;5,4;4,8;5,4;6,7;3,1
mar/94;1994;março;SP;6,9;8,4;6;6,3;4,6;6;7,1;3,5
abr/94;1994;abril;SP;6;6,8;4,8;5,5;3,8;5,2;6;3,2
mai/94;1994;maio;SP;5,9;6,7;4,5;5,6;3,9;5,4;5,7;3,3
jun/94;1994;junho;SP;6,4;7,4;6;6,1;4,2;6;5,7;3,2
jul/94;1994;julho;SP;6,1;6,8;6,3;6,8;3,9;5,7;5,8;3,1
ago/94;1994;agosto;SP;6,2;6,5;6;6,9;4,3;5,5;6,3;2,9
set/94;1994;setembro;SP;6,1;7,1;5,1;6,2;4,3;5,2;6,7;3,1
out/94;1994;outubro;SP;5,2;5,4;5,5;4,5;4;4,6;5;2,6
nov/94;1994;novembro;SP;4,4;4,4;2,8;4;3,9;4;4,3;2,5
dez/94;1994;dezembro;SP;4;4,4;3,3;4;2,8;3,4;3,9;2,2
jan/95;1995;janeiro;SP;5,3;5,7;4,6;5,7;3,9;5,1;4,9;2,9
fev/95;1995;fevereiro;SP;4,7;5;2,7;4,5;3,7;4,2;5,1;2
mar/95;1995;março;SP;5,3;5,3;3,6;5,1;4;4,7;5,2;2,4
abr/95;1995;abril;SP;4,8;5,9;4,5;4,8;3,2;4,6;4,5;2,5
mai/95;1995;maio;SP;5;5,4;4,5;5,3;3,6;4,7;4,9;2,6
jun/95;1995;junho;SP;5,3;5,9;5,1;4,9;4,1;5,1;5,2;3
jul/95;1995;julho;SP;5,7;6,2;4,8;5,8;3,8;5,1;5,4;3,1
ago/95;1995;agosto;SP;5,7;5,8;4;6,5;4,3;5,1;5,7;3
set/95;1995;setembro;SP;6,5;7,1;6,6;5,9;5,4;6,2;6,4;3,7
out/95;1995;outubro;SP;6,2;7,1;6,1;6,3;4,6;5,8;6,2;3,8
nov/95;1995;novembro;SP;5,9;7,3;5,2;5;3,7;4,9;5,6;2,9
dez/95;1995;dezembro;SP;5,8;6,2;4,9;4,8;4,2;4,9;5,4;2,9
jan/96;1996;janeiro;SP;6,5;7,7;5,5;5,7;4,7;6,3;6,3;3,8
fev/96;1996;fevereiro;SP;7,7;8,8;5,6;7;5,5;6,4;8;4
mar/96;1996;março;SP;8,1;9;7,2;7,1;6;6,9;8,8;3,9
abr/96;1996;abril;SP;7,6;9,1;6;7,3;5,7;6,2;8,5;3,6
mai/96;1996;maio;SP;7,4;8,8;5,9;7,7;5,6;6,4;7,8;3,8
jun/96;1996;junho;SP;7,6;9,2;7,1;9;5;6,6;8,1;4
jul/96;1996;julho;SP;6,8;7,1;7,2;7,7;4,8;5,7;7,1;3,7
ago/96;1996;agosto;SP;6,4;7;5,8;6,1;4,7;5,4;6,8;3,6
set/96;1996;setembro;SP;6,2;7,1;4,5;7;4,5;5,5;6,2;3,7
out/96;1996;outubro;SP;6,1;6,7;4;6,7;5,1;5,1;7,1;3,2
nov/96;1996;novembro;SP;5,6;7,3;5;4,5;4,2;4,9;5,6;3,2
dez/96;1996;dezembro;SP;4,6;5,1;4,2;3,2;3,2;4,3;3,7;2,7
jan/97;1997;janeiro;SP;6,3;7,3;5,6;6,4;4,5;5,7;6,4;3,5
fev/97;1997;fevereiro;SP;7,3;8,7;6,4;7,1;5,4;6,3;7,6;3,5
mar/97;1997;março;SP;7,7;8,8;6,3;7,3;5,7;6,6;8;4,1
abr/97;1997;abril;SP;7,5;8,2;6,2;8,3;5,8;6,5;8;3,7
mai/97;1997;maio;SP;7,3;7,7;6,9;7,9;5,4;6,4;7,6;3,6
jun/97;1997;junho;SP;8;9;5,5;8,3;5,2;6,7;7,6;4
jul/97;1997;julho;SP;7,7;8,5;4,4;8;5,8;6,2;8,4;4,6
ago/97;1997;agosto;SP;7,1;8,4;6,3;5,9;5,2;6,2;7,2;4
set/97;1997;setembro;SP;7;7;5,8;7,8;5,4;5,9;7,4;3,8
out/97;1997;outubro;SP;7,2;7,8;5,2;7,7;5,3;6,1;7,6;4
nov/97;1997;novembro;SP;6,7;7,3;5,6;6,3;4,9;5,6;6,8;3,3
dez/97;1997;dezembro;SP;6;6,4;5,2;6,1;3,7;4,9;5,6;3
jan/98;1998;janeiro;SP;9,2;0,1;7,3;9,1;6,3;8,3;8,9;5,2
fev/98;1998;fevereiro;SP;9,7;10,9;8;9,4;6,7;8,7;8,9;5,5
mar/98;1998;março;SP;9,8;10,2;8,7;9,7;6,9;8,2;10;5,4
abr/98;1998;abril;SP;9,5;10;8;8,6;7;7,7;9,8;5,4
mai/98;1998;maio;SP;9,8;9,7;9,7;8,9;7,5;8,1;10,6;5,2
jun/98;1998;junho;SP;9,4;9,7;7,9;10,7;6,5;8;9,5;4,9
jul/98;1998;julho;SP;9,8;0,5;9,5;8,8;7,4;8,5;9,6;5,5
ago/98;1998;agosto;SP;9,4;9,6;11,2;8,4;6,9;8,5;8,9;5,4
set/98;1998;setembro;SP;9,3;9,8;9,7;8;7,2;8,2;9,4;5,1
out/98;1998;outubro;SP;9,6;10,4;11;8,6;7,2;9,1;8,5;5,4
nov/98;1998;novembro;SP;9;9,6;10,2;8,8;6,1;8,3;7,9;5,2
dez/98;1998;dezembro;SP;8,5;8,9;8,4;6,7;5,7;7,3;7,3;4,7
jan/99;1999;janeiro;SP;10,1;9,4;10,7;0,1;7;8,8;9,7;5,7
fev/99;1999;fevereiro;SP;9,5;8,7;9,7;8,9;6,4;7,8;9,2;4,8
mar/99;1999;março;SP;9,8;10,3;10,4;11,4;6,4;8,7;9,2;4,9
abr/99;1999;abril;SP;9,7;9,3;10,2;9,7;6,8;8,6;8,9;5,7
mai/99;1999;maio;SP;9,4;8,7;11,2;9,7;6,8;7,9;9,5;5,5
jun/99;1999;junho;SP;9,5;9,5;10,5;8,8;7,5;8,6;9,5;5,3
jul/99;1999;julho;SP;8,8;8,9;10,2;8,2;6,4;7,8;8,7;4,9
ago/99;1999;agosto;SP;9;9,2;9,8;9,2;6,4;7,8;8,7;4,8
set/99;1999;setembro;SP;8,7;9,5;9;8,4;6,3;7,7;8,5;5,2
out/99;1999;outubro;SP;8,7;9,8;9;9,4;6,2;7,6;9;5,1
nov/99;1999;novembro;SP;8,7;8,7;6,9;9,5;6;7,4;8,6;4,7
dez/99;1999;dezembro;SP;7,4;6,6;7,4;6,8;5,3;6;7,3;3,5
jan/00;2000;janeiro;SP;9,1;9,1;9,6;9;6,5;7,3;9,4;4,9
fev/00;2000;fevereiro;SP;9,6;8,7;8,3;9,9;7,2;7,9;10,2;4,9
mar/00;2000;março;SP;9,1;9;7,9;7,9;6,7;7,4;9,2;4,7
abr/00;2000;abril;SP;8,6;8,7;7,6;7,6;6,5;7,1;9,4;4,1
mai/00;2000;maio;SP;9;9,1;7,8;8,3;7,2;7,5;9,6;4,8
jun/00;2000;junho;SP;8,5;9,2;7,5;7,3;6,5;7,3;8,6;4,4
jul/00;2000;julho;SP;8,2;8,4;9,5;8;6,1;7,1;8,1;4,8
ago/00;2000;agosto;SP;8,1;8,3;10,4;7,7;5,7;6,9;8,4;4,5
set/00;2000;setembro;SP;7,5;6,6;7,9;8,3;5,6;6,4;7,8;3,9
out/00;2000;outubro;SP;8;7,1;8,7;7,5;5,8;7,1;7,3;4,4
nov/00;2000;novembro;SP;6,8;5,5;7,1;6,5;5,3;6,2;6,2;3,3
dez/00;2000;dezembro;SP;5,2;5;4,8;4,6;3,7;4,3;5;2,2
jan/01;2001;janeiro;SP;6,2;6,1;7,1;6,1;4,4;5;6,5;2,5
fev/01;2001;fevereiro;SP;6,5;6,3;6,4;5,8;4,6;5,1;6,7;3,2
mar/01;2001;março;SP;6,6;7,2;7,7;6;4,8;5,7;6,9;3,6
abr/01;2001;abril;SP;7;7,8;7,4;6,4;4,7;6,6;6,6;3,6
mai/01;2001;maio;SP;7,9;7,9;9,3;7,3;5,4;7,1;7,1;4,4
jun/01;2001;junho;SP;7,1;7,9;7;6,4;5,3;6,4;6,7;4,3
jul/01;2001;julho;SP;6,6;6,9;7,9;6,6;4,8;5,9;6,5;3,7
ago/01;2001;agosto;SP;7;6,6;7,4;7;4,9;5,9;6,9;3,9
set/01;2001;setembro;SP;7,2;7,3;7,3;7,1;5,3;6,4;6,8;4,3
out/01;2001;outubro;SP;7,5;6,9;8,6;8,4;5,5;6,5;7,6;4,4
nov/01;2001;novembro;SP;7,6;8;7,8;7,6;5,7;7,2;6,7;5
dez/01;2001;dezembro;SP;6,8;7,3;8;5,6;4,6;5,9;5,7;4
jan/02;2002;janeiro;SP;7,9;7,6;9,2;8,5;5,4;7;7,5;5
fev/02;2002;fevereiro;SP;9,2;9;11,7;9;6,3;7,7;9,1;5,2
mar/02;2002;março;SP;8,6;9,4;9,9;8,6;6;7,5;8,8;5,1
abr/02;2002;abril;SP;9,6;9,2;10,5;10;6,7;8;10,3;5,4
mai/02;2002;maio;SP;10;10;10;9,8;7,6;9,1;9,5;5,9
jun/02;2002;junho;SP;9,5;10,5;11,6;8,4;7;8,8;8,7;6
jul/02;2002;julho;SP;9,5;9,6;12,5;8,7;7,1;8,8;9;5,6
ago/02;2002;agosto;SP;9,8;9,7;9,7;8,7;7,1;8,4;9,6;5,3
set/02;2002;setembro;SP;10,2;9,7;10,7;10;7,3;8,5;10,2;5,3
out/02;2002;outubro;SP;9,9;9,3;8,3;9,5;7,2;8,5;9,8;5
nov/02;2002;novembro;SP;9;9,6;9,6;8,7;6,7;8,1;8,7;5,2
dez/02;2002;dezembro;SP;7,4;6,8;4,4;6,3;4,7;5,7;6,4;3,3
